DatabaseClass text,Name text,HullNumber text,DateInService numeric,DateOutService numeric
"Knox FFG","USS Bowen","FF-1079","1975.495","1994.495"
"Knox FFG","USS Brewton","DE-1086","1972.516","1975.495"
"Knox FFG","USS Brewton","FF-1086","1975.495","1992.5"
"Knox FFG","USS Capodanno","DE-1093","1973.877","1975.495"
"Knox FFG","USS Capodanno","FF-1093","1975.495","1993.027"
"Knox FFG","USS Connole","DE-1056","1969.662","1975.495"
"Knox FFG","USS Connole","FF-1056","1975.495","1992.663"
"Knox FFG","USS Cook","DE-1083","1971.962","1975.495"
"Knox FFG","USS Cook","FF-1083","1975.495","1992.328"
"Knox FFG","USS Donald B. Beary","DE-1085","1972.555","1975.495"
"Knox FFG","USS Donald B. Beary","FF-1085","1975.495","1994.383"
"Knox FFG","USS Downes","DE-1070","1971.656","1975.495"
"Knox FFG","USS Downes","FF-1070","1975.495","1992.12"
"Knox FFG","USS Elmer Montgomery","DE-1082","1971.828","1975.495"
"Knox FFG","USS Elmer Montgomery","FF-1082","1975.495","1993.495"
"Knox FFG","USS Fanning","DE-1076","1971.557","1975.495"
"Knox FFG","USS Fanning","FF-1076","1975.495","1993.579"
"Knox FFG","USS Francis Hammond","DE-1067","1971.915","1975.495"
"Knox FFG","USS Francis Hammond","FF-1067","1975.495","1992.5"
"Knox FFG","USS Gray","DE-1054","1970.256","1975.495"
"Knox FFG","USS Gray","FF-1054","1975.495","1991.492"
"Knox FFG","USS Harold E. Holt","DE-1074","1971.232","1975.495"
"Knox FFG","USS Harold E. Holt","FF-1074","1975.495","1992.5"
"Knox FFG","USS Hepburn","DE-1055","1969.503","1975.495"
"Knox FFG","USS Hepburn","FF-1055","1975.495","1991.968"
"Knox FFG","USS Jesse L. Brown","DE-1089","1973.128","1975.495"
"Knox FFG","USS Jesse L. Brown","FF-1089","1975.495","1994.568"
"Knox FFG","USS Joseph Hawes","DE-1078","1971.311","1975.495"
"Knox FFG","USS Joseph Hawes","FF-1078","1975.495","1994.495"
"Knox FFG","USS Kirk","DE-1087","1972.689","1975.495"
"Knox FFG","USS Kirk","FF-1087","1975.495","1993.596"
"Knox FFG","USS Knox","DE-1052","1969.278","1975.495"
"Knox FFG","USS Knox","FF-1052","1975.495","1992.122"
"Knox FFG","USS Lang","DE-1060","1970.237","1975.495"
